Nodes:   2, Distance: 161.7, Iterations: 122/10000
Nodes:   3, Distance: 178.8, Iterations: 155/10000
Nodes:   4, Distance: 178.7, Iterations: 156/10000
Nodes:   5, Distance: 173.9, Iterations: 192/10000
Nodes:   6, Distance: 197.5, Iterations: 391/10000
Nodes:   7, Distance: 189.8, Iterations: 411/10000
Nodes:   8, Distance: 179.0, Iterations: 451/10000
Nodes:   9, Distance: 187.9, Iterations: 608/10000
Nodes:   10, Distance: 180.1, Iterations: 705/10000
Nodes:   11, Distance: 173.9, Iterations: 763/10000
Nodes:   12, Distance: 168.1, Iterations: 889/10000
Nodes:   13, Distance: 188.8, Iterations: 1030/10000
Nodes:   14, Distance: 183.8, Iterations: 1039/10000
Nodes:   15, Distance: 182.3, Iterations: 1078/10000
Nodes:   16, Distance: 178.3, Iterations: 1080/10000
Nodes:   17, Distance: 172.1, Iterations: 1099/10000
Nodes:   18, Distance: 182.2, Iterations: 1196/10000
Nodes:   19, Distance: 167.2, Iterations: 1266/10000
Nodes:   20, Distance: 178.9, Iterations: 1317/10000
Nodes:   21, Distance: 193.4, Iterations: 1360/10000
Nodes:   22, Distance: 169.6, Iterations: 1367/10000
Nodes:   23, Distance: 181.2, Iterations: 1373/10000
Nodes:   24, Distance: 161.0, Iterations: 1472/10000
Nodes:   25, Distance: 168.3, Iterations: 1864/10000
Nodes:   26, Distance: 157.4, Iterations: 1918/10000
Nodes:   27, Distance: 182.1, Iterations: 2031/10000
Nodes:   28, Distance: 183.5, Iterations: 2101/10000
Nodes:   29, Distance: 178.2, Iterations: 2168/10000
Nodes:   30, Distance: 161.4, Iterations: 2190/10000
Nodes:   31, Distance: 180.8, Iterations: 2192/10000
Nodes:   32, Distance: 172.5, Iterations: 2374/10000
Nodes:   33, Distance: 157.7, Iterations: 2391/10000
Nodes:   34, Distance: 166.9, Iterations: 2471/10000
Nodes:   35, Distance: 182.6, Iterations: 2482/10000
Nodes:   36, Distance: 184.9, Iterations: 2632/10000
Nodes:   37, Distance: 187.1, Iterations: 2738/10000
Nodes:   38, Distance: 134.1, Iterations: 2812/10000
Nodes:   39, Distance: 134.5, Iterations: 2845/10000
Nodes:   40, Distance: 116.7, Iterations: 2859/10000
Nodes:   41, Distance: 164.5, Iterations: 2869/10000
Nodes:   42, Distance: 130.1, Iterations: 2892/10000
Nodes:   43, Distance: 160.3, Iterations: 2916/10000
Nodes:   44, Distance: 171.3, Iterations: 2937/10000
Nodes:   45, Distance: 175.5, Iterations: 2942/10000
Nodes:   46, Distance: 127.1, Iterations: 2955/10000
Nodes:   47, Distance: 135.3, Iterations: 2982/10000
Nodes:   48, Distance: 171.8, Iterations: 2984/10000
Nodes:   49, Distance: 124.2, Iterations: 2986/10000
Nodes:   50, Distance: 113.0, Iterations: 2997/10000
Nodes:   51, Distance: 187.1, Iterations: 3025/10000
Nodes:   52, Distance: 153.3, Iterations: 3049/10000
Nodes:   53, Distance: 181.3, Iterations: 3075/10000
Nodes:   54, Distance: 169.2, Iterations: 3084/10000
Nodes:   55, Distance: 176.2, Iterations: 3096/10000
Nodes:   56, Distance: 125.4, Iterations: 3099/10000
Nodes:   57, Distance: 136.4, Iterations: 3177/10000
Nodes:   58, Distance: 126.9, Iterations: 3194/10000
Nodes:   59, Distance: 137.8, Iterations: 3195/10000
Nodes:   60, Distance: 166.8, Iterations: 3228/10000
Nodes:   61, Distance: 133.7, Iterations: 3260/10000
Nodes:   62, Distance: 132.7, Iterations: 3263/10000
Nodes:   63, Distance: 113.0, Iterations: 3264/10000
Nodes:   64, Distance: 174.7, Iterations: 3271/10000
Nodes:   65, Distance: 170.8, Iterations: 3285/10000
Nodes:   66, Distance: 171.9, Iterations: 3305/10000
Nodes:   67, Distance: 134.6, Iterations: 3318/10000
Nodes:   68, Distance: 172.7, Iterations: 3349/10000
Nodes:   69, Distance: 169.8, Iterations: 3372/10000
Nodes:   70, Distance: 117.1, Iterations: 3391/10000
Nodes:   71, Distance: 139.3, Iterations: 3430/10000
Nodes:   72, Distance: 115.8, Iterations: 3530/10000
Nodes:   73, Distance: 170.2, Iterations: 3552/10000
Nodes:   74, Distance: 162.0, Iterations: 3562/10000
Nodes:   75, Distance: 123.7, Iterations: 3584/10000
Nodes:   76, Distance: 180.2, Iterations: 3616/10000
Nodes:   77, Distance: 131.5, Iterations: 3705/10000
Nodes:   78, Distance: 171.6, Iterations: 3739/10000
Nodes:   79, Distance: 169.5, Iterations: 3744/10000
Nodes:   80, Distance: 163.3, Iterations: 3792/10000
Nodes:   81, Distance: 169.1, Iterations: 3802/10000
Nodes:   82, Distance: 110.7, Iterations: 3829/10000
Nodes:   83, Distance: 20.0, Iterations: 3830/10000
